0,0.0
1,0.0
2,30.3
3,36.5
4,48.8
5,54.4
6,62.1
7,77.9
8,82.2
9,82.1
10,80.7
11,86.0
12,86.5
13,79.6
14,84.2
15,83.8
16,75.8
17,82.5
18,86.2
19,83.4
20,78.6
21,84.4
22,83.4
23,84.5
24,80.8
25,83.9
26,78.2
27,80.5
28,79.6
29,78.2
30,80.6
31,82.6
32,84.0
33,77.3
34,82.8
35,82.6
36,84.9
37,84.0
38,79.7
39,85.2
40,80.7
41,77.6
42,79.8
43,78.5
44,88.8
45,81.6
46,85.6
47,75.7
48,83.7
49,82.8
50,82.9
51,83.4
52,77.3
53,77.0
54,81.8
55,86.1
56,83.5
57,83.5
58,79.8
59,82.8
60,82.5
61,80.3
62,79.7
63,80.1
64,82.4
65,86.7
66,77.1
67,86.4
68,80.0
69,82.4
70,74.5
71,85.9
72,81.9
73,84.3
74,78.9
75,77.0
76,85.7
77,82.0
78,80.9
79,77.9
80,82.7
81,78.5
82,82.2
83,83.5
84,79.1
85,79.7
86,78.0
87,79.2
88,80.8
89,84.3
90,79.0
91,78.9
92,77.4
93,80.1
94,75.3
95,77.2
96,64.5
97,64.5
98,65.2
99,54.8
100,48.9
101,36.5
102,15.8
103,5.9
104,4.3
