time,%CPUse
0,0.0
1,0.0
2,26.7
3,37.2
4,46.1
5,47.7
6,44.6
7,45.2
8,46.9
9,47.6
10,48.6
11,43.2
12,45.6
13,46.8
14,46.0
15,44.3
16,44.3
17,44.4
18,45.7
19,47.5
20,42.6
21,44.8
22,46.3
23,45.5
24,47.6
25,46.8
26,44.7
27,47.4
28,44.9
29,50.2
30,49.7
31,49.8
32,45.2
33,47.2
34,45.7
35,44.8
36,46.6
37,49.6
38,50.0
39,48.1
40,44.8
41,47.7
42,45.0
43,50.7
44,50.1
45,45.4
46,46.8
47,47.0
48,46.0
49,50.5
50,44.0
51,44.4
52,45.2
53,48.6
54,43.7
55,46.5
56,43.3
57,51.4
58,48.4
59,48.0
60,47.9
61,46.1
62,46.8
63,49.5
64,47.1
65,46.2
66,43.4
67,46.4
68,45.5
69,47.5
70,49.9
71,47.6
72,50.3
73,49.4
74,45.2
75,44.2
76,46.0
77,46.9
78,47.9
79,49.7
80,48.6
81,48.0
82,46.7
83,47.6
84,44.0
85,46.1
86,42.6
87,45.4
88,43.4
89,44.8
90,48.5
91,49.4
92,44.7
93,49.3
94,48.0
95,45.7
96,26.9
97,14.7
98,7.3
99,4.3
100,7.3
101,3.7
102,2.5
103,6.9
104,5.0
105,4.4
106,2.0
107,5.3
108,6.9
109,7.7
110,5.9
111,4.4
112,6.0
113,5.7
114,2.6
115,7.9
116,2.9
117,5.0
118,5.7
119,3.1
