time,%CPUse
0,0.0
1,0.0
2,15.3
3,14.4
4,15.3
5,13.9
6,14.6
7,13.6
8,14.4
9,13.8
10,14.4
11,13.9
12,15.2
13,13.8
14,14.4
15,15.2
16,15.6
17,14.3
18,14.8
19,15.0
20,14.2
21,13.6
22,15.3
23,13.8
24,14.4
25,13.0
26,14.7
27,12.9
28,15.4
29,14.2
30,14.0
31,13.9
32,15.2
33,14.8
34,14.7
35,13.9
36,14.3
37,15.0
38,14.6
39,13.3
40,14.8
41,13.6
42,15.5
43,13.5
44,14.7
45,13.9
46,13.6
47,15.1
48,13.8
49,14.6
50,13.4
51,14.0
52,16.4
53,13.6
54,14.0
55,14.6
56,13.2
57,15.2
58,14.1
59,13.3
60,13.6
61,15.4
62,15.2
63,15.2
64,13.7
65,15.2
66,13.6
67,14.4
68,13.1
69,15.7
70,12.4
71,27.6
72,15.9
73,14.4
74,13.4
75,14.3
76,14.2
77,15.0
78,15.0
79,14.6
80,13.4
81,13.8
82,14.0
83,15.4
84,14.6
85,13.6
86,13.5
87,15.4
88,27.6
89,27.5
90,26.0
91,26.8
92,26.5
93,21.1
94,15.0
95,14.5
96,12.4
97,14.8
98,15.3
99,15.0
100,13.8
101,14.3
102,14.8
103,15.6
104,14.7
105,13.7
106,14.6
107,14.2
108,15.1
109,14.5
110,12.6
111,14.5
112,14.6
113,16.0
114,13.8
115,15.8
116,14.7
117,14.4
118,14.3
119,15.2
120,13.7
121,15.3
122,15.7
123,16.0
124,14.0
125,14.0
126,13.3
127,15.7
128,14.3
129,13.8
130,13.6
131,15.0
132,13.2
133,15.5
134,13.8
135,15.1
136,13.4
137,15.4
138,13.2
139,15.9
140,13.3
141,15.3
142,14.0
143,15.3
144,13.6
145,14.6
146,14.9
147,13.8
148,14.2
149,15.2
150,14.3
151,14.4
152,12.8
153,17.5
154,13.8
155,17.7
156,15.6
157,17.1
158,14.1
159,15.4
160,12.9
161,15.4
162,13.4
163,16.1
164,14.3
165,14.5
166,13.1
167,15.2
168,13.3
169,15.2
170,13.7
171,13.7
172,14.0
173,14.9
174,15.7
175,14.1
176,15.4
177,13.7
178,13.2
179,5.6
180,4.3
181,8.1
182,0.5
183,8.2
184,7.0
185,10.5
186,6.2
187,5.4
188,9.4
189,10.1
190,4.9
