time,%CPUse
0,0.0
1,0.0
2,28.4
3,38.0
4,48.5
5,60.7
6,65.3
7,74.4
8,85.2
9,89.1
10,83.8
11,86.5
12,80.4
13,83.9
14,85.6
15,93.8
16,84.8
17,83.8
18,92.3
19,82.6
20,87.3
21,87.0
22,84.0
23,81.6
24,86.0
25,84.7
26,85.6
27,91.7
28,89.6
29,87.8
30,88.4
31,87.5
32,88.2
33,84.3
34,86.8
35,89.2
36,83.4
37,87.8
38,93.3
39,83.6
40,84.5
41,83.2
42,87.3
43,84.5
44,80.8
45,79.9
46,89.0
47,85.5
48,86.8
49,81.6
50,86.4
51,84.6
52,94.1
53,94.7
54,89.2
55,83.5
56,87.4
57,91.8
58,93.9
59,83.6
60,84.1
61,85.2
62,90.7
63,81.5
64,87.4
65,81.0
66,80.2
67,85.8
68,88.2
69,82.4
70,90.6
71,91.6
72,91.3
73,85.6
74,85.9
75,93.1
76,91.3
77,86.1
78,89.6
79,88.5
80,89.0
81,90.2
82,89.1
83,87.4
84,79.9
85,85.6
86,80.8
87,80.9
88,77.2
89,87.2
90,86.6
91,87.4
92,78.6
93,82.6
94,92.3
95,87.4
96,87.5
97,85.6
98,88.5
99,89.3
100,80.9
101,85.3
102,89.0
103,89.1
104,78.6
105,86.7
106,85.7
107,84.8
108,83.1
109,81.6
110,76.9
111,81.3
112,92.4
113,89.6
114,97.8
115,85.7
116,82.5
117,79.6
118,90.0
119,93.7
120,81.4
121,86.4
122,79.9
123,88.7
124,88.0
125,86.9
126,70.8
127,92.3
128,89.3
129,91.6
130,84.3
131,76.1
132,92.9
133,89.8
134,78.7
135,87.0
136,89.6
137,85.7
138,91.3
139,92.3
140,83.4
141,94.7
142,81.7
143,82.2
144,81.9
145,89.6
146,74.8
147,90.6
148,83.4
149,84.7
150,89.4
151,81.5
152,88.8
153,81.9
154,82.1
155,82.6
156,90.5
157,84.2
158,89.2
159,87.0
160,86.7
161,89.8
162,84.4
163,94.3
164,92.3
165,86.8
166,88.6
167,87.4
168,87.2
169,89.9
170,81.7
171,74.6
172,94.7
173,84.4
174,91.9
175,83.1
176,91.1
177,90.4
178,91.9
179,93.5
180,86.0
181,81.4
182,81.4
183,87.7
184,86.7
185,80.7
186,92.9
187,91.7
188,92.8
189,81.1
190,78.6
191,88.5
192,91.0
193,70.7
194,86.6
195,81.2
196,87.4
197,77.2
198,80.4
199,80.9
200,87.0
201,81.4
202,90.9
203,83.5
204,83.5
205,75.4
206,86.4
207,84.0
208,90.6
209,82.6
210,90.2
211,90.6
212,79.9
213,81.6
214,87.7
215,86.5
216,86.7
217,76.0
218,93.3
219,88.8
220,82.1
221,80.0
222,87.4
223,81.1
224,82.9
225,85.1
226,84.5
227,91.6
228,84.7
229,85.1
230,81.1
231,81.1
232,74.2
233,95.5
234,78.4
235,87.9
236,77.4
237,89.6
238,94.7
239,80.2
240,81.4
241,86.8
242,88.6
243,86.4
244,88.2
245,87.1
246,86.7
247,92.8
248,81.4
249,87.7
250,80.7
251,76.3
252,81.6
253,86.4
254,78.5
255,94.0
256,88.0
257,84.5
258,83.3
259,86.2
260,79.7
261,86.1
262,87.5
263,86.8
264,95.1
265,90.1
266,90.5
267,85.9
268,87.6
269,91.5
270,76.9
271,81.7
272,83.9
273,80.8
274,87.1
275,93.8
276,91.8
277,91.3
278,91.0
279,85.3
280,93.4
281,91.6
282,89.8
283,84.9
284,87.2
285,86.4
286,86.7
287,82.7
288,79.9
289,83.8
290,86.3
291,85.9
292,88.7
293,88.4
294,92.1
295,89.3
296,87.4
297,89.4
298,88.8
299,83.5
300,81.8
301,89.0
302,76.1
303,74.3
304,88.6
305,91.0
306,80.2
307,88.6
308,84.8
309,87.4
310,95.7
311,82.3
312,81.7
313,90.2
314,88.8
315,93.3
316,83.7
317,91.5
318,84.3
319,88.6
320,88.0
321,81.1
322,86.8
323,85.2
324,85.4
325,89.6
326,86.6
327,93.0
328,81.2
329,89.0
330,86.3
331,79.9
332,86.6
333,92.3
334,90.4
335,84.3
336,93.3
337,88.3
338,79.7
339,77.6
340,85.8
341,91.8
342,93.3
343,80.2
344,90.8
345,84.0
346,82.7
347,87.8
348,84.5
349,90.0
350,80.0
351,86.6
352,82.6
353,84.5
354,85.8
355,86.0
356,79.1
357,80.8
358,77.0
359,88.3
360,82.5
361,77.5
362,82.6
363,88.2
364,82.7
365,89.5
366,83.0
367,83.9
368,88.5
369,80.8
370,91.2
371,87.0
372,84.4
373,79.3
374,89.0
375,87.3
376,94.1
377,82.2
378,94.1
379,88.4
380,91.8
381,86.1
382,90.4
383,87.7
384,90.2
385,88.1
386,89.4
387,88.2
388,91.6
389,87.7
390,86.6
391,76.5
392,65.5
393,68.5
394,53.4
395,27.1
396,21.5
397,12.5
398,3.6
399,4.0
400,2.5
401,4.4
402,4.2
403,6.4
404,2.2
405,5.9
406,4.3
407,3.0
408,4.9
409,3.1
410,2.5
411,4.9
412,6.4
413,4.5
414,0.9
415,12.6
