time,%CPUse
0,0.0
1,0.0
2,27.2
3,40.1
4,46.7
5,49.8
6,50.8
7,46.1
8,53.3
9,47.5
10,49.5
11,48.0
12,48.7
13,49.1
14,50.9
15,49.2
16,51.3
17,44.7
18,50.5
19,47.6
20,51.0
21,48.5
22,50.3
23,49.9
24,48.6
25,49.0
26,51.8
27,48.3
28,50.2
29,47.5
30,51.2
31,47.9
32,51.4
33,48.1
34,49.0
35,46.2
36,52.1
37,48.4
38,47.4
39,48.5
40,47.8
41,48.2
42,50.3
43,48.1
44,50.4
45,46.2
46,51.4
47,44.4
48,49.6
49,47.0
50,49.4
51,47.2
52,47.1
53,48.6
54,48.0
55,47.4
56,51.2
57,46.6
58,49.1
59,48.1
60,48.8
61,44.7
62,48.8
63,47.0
64,50.3
65,48.6
66,48.8
67,47.6
68,53.8
69,49.7
70,48.9
71,48.7
72,48.2
73,46.8
74,46.8
75,55.4
76,61.5
77,62.6
78,62.6
79,59.1
80,60.4
81,50.8
82,47.8
83,47.8
84,47.9
85,46.8
86,49.6
87,46.5
88,47.2
89,46.7
90,47.5
91,49.0
92,50.8
93,46.7
94,48.2
95,47.3
96,46.2
97,50.7
98,45.5
99,44.1
100,49.0
101,46.5
102,47.1
103,46.1
104,50.7
105,47.0
106,46.2
107,47.9
108,50.2
109,46.6
110,51.0
111,47.4
112,48.6
113,46.9
114,50.2
115,48.5
116,49.3
117,47.1
118,48.4
119,48.1
120,49.6
121,48.2
122,48.1
123,49.0
124,49.1
125,48.0
126,46.4
127,48.1
128,52.4
129,50.2
130,46.4
131,48.3
132,45.5
133,47.6
134,52.6
135,45.5
136,48.7
137,47.8
138,49.8
139,47.6
140,50.8
141,45.2
142,49.6
143,48.6
144,48.8
145,46.5
146,49.2
147,48.3
148,50.3
149,49.0
150,48.6
151,43.9
152,51.2
153,48.5
154,51.1
155,49.2
156,47.4
157,47.2
158,49.1
159,48.1
160,48.7
161,47.6
162,49.8
163,47.5
164,48.3
165,45.3
166,47.8
167,47.5
168,51.4
169,47.0
170,50.9
171,48.8
172,49.7
173,49.4
174,47.2
175,33.1
176,20.9
177,13.0
178,4.8
179,3.3
180,8.7
