time,%CPUse
0,0.0
1,0.0
2,14.6
3,14.7
4,16.7
5,16.3
6,13.7
7,13.5
8,14.5
9,13.2
10,15.7
11,14.2
12,14.0
13,15.6
14,14.0
15,15.8
16,15.3
17,14.4
18,12.8
19,13.2
20,15.3
21,14.3
22,14.2
23,14.2
24,13.5
25,16.0
26,15.5
27,13.6
28,13.4
29,15.4
30,17.0
31,27.7
32,25.4
33,27.5
34,25.2
35,26.4
36,13.5
37,13.6
38,13.8
39,14.2
40,15.0
41,13.6
42,14.6
43,14.2
44,14.1
45,15.5
46,14.7
47,14.9
48,14.4
49,13.8
50,15.4
51,15.7
52,14.7
53,14.2
54,13.7
55,16.2
56,14.5
57,12.9
58,13.7
59,15.2
60,14.9
61,14.1
62,13.6
63,14.8
64,15.5
65,17.2
66,12.8
67,15.1
68,14.7
69,13.8
70,13.3
71,14.0
72,1.8
73,5.2
74,9.1
75,6.5
76,3.9
77,9.5
