time,%CPUse
0,0.0
1,0.0
2,34.4
3,35.7
4,49.5
5,60.7
6,68.7
7,75.3
8,86.3
9,94.0
10,86.6
11,87.7
12,89.5
13,87.1
14,87.2
15,88.3
16,91.0
17,81.9
18,85.5
19,86.8
20,91.3
21,83.3
22,87.7
23,88.8
24,86.6
25,84.9
26,89.8
27,86.6
28,80.4
29,85.0
30,87.8
31,85.4
32,85.9
33,83.5
34,89.4
35,86.6
36,85.3
37,85.9
38,84.3
39,86.9
40,90.0
41,85.8
42,78.6
43,88.2
44,91.1
45,88.7
46,87.6
47,82.4
48,86.3
49,87.2
50,91.2
51,88.6
52,83.9
53,87.5
54,81.3
55,83.4
56,87.7
57,89.1
58,90.2
59,85.9
60,88.9
61,82.9
62,87.3
63,86.9
64,85.7
65,87.6
66,87.1
67,87.0
68,86.3
69,83.5
70,90.8
71,89.6
72,86.1
73,88.0
74,92.1
75,91.7
76,92.5
77,87.8
78,88.6
79,89.3
80,86.8
81,92.3
82,88.0
83,93.7
84,93.7
85,91.2
86,85.2
87,83.4
88,88.7
89,89.2
90,92.6
91,87.8
92,87.2
93,91.9
94,90.9
95,89.7
96,89.3
97,85.7
98,90.5
99,83.2
100,84.9
101,91.3
102,86.4
103,88.8
104,78.2
105,90.4
106,88.0
107,84.9
108,82.9
109,87.4
110,90.9
111,89.5
112,82.5
113,87.6
114,90.7
115,85.4
116,87.2
117,83.3
118,86.3
119,83.9
120,85.5
121,91.7
122,90.4
123,85.6
124,89.4
125,91.2
126,90.8
127,89.4
128,91.1
129,85.5
130,90.0
131,89.0
132,82.9
133,88.2
134,86.7
135,85.0
136,87.9
137,86.0
138,88.6
139,89.2
140,89.8
141,92.8
142,81.6
143,87.3
144,84.5
145,87.2
146,84.9
147,88.4
148,85.0
149,84.6
150,78.4
151,88.6
152,89.2
153,87.8
154,86.8
155,84.9
156,83.3
157,91.1
158,87.5
159,84.3
160,80.6
161,86.5
162,86.5
163,92.3
164,79.8
165,86.5
166,86.6
167,81.4
168,82.8
169,86.2
170,88.4
171,86.8
172,88.9
173,91.6
174,89.1
175,89.1
176,87.7
177,89.2
178,85.3
179,92.9
180,83.6
181,83.9
182,91.6
183,91.6
184,82.7
185,80.9
186,90.1
187,82.7
188,83.8
189,86.1
190,87.4
191,88.3
192,89.6
193,88.8
194,84.3
195,89.8
196,85.4
197,88.1
198,84.9
199,84.2
200,91.5
201,88.1
202,83.5
203,86.0
204,83.0
205,85.7
206,90.5
207,82.6
208,84.7
209,91.6
210,86.4
211,90.4
212,84.6
213,87.8
214,85.7
215,86.6
216,86.3
217,82.1
218,90.5
219,81.9
220,84.0
221,88.2
222,86.4
223,86.8
224,84.8
225,87.0
226,86.5
227,86.3
228,86.0
229,84.1
230,88.0
231,81.2
232,87.1
233,89.0
234,80.7
235,86.9
236,86.6
237,89.7
238,87.5
239,88.4
240,90.0
241,86.9
242,87.4
243,88.7
244,93.6
245,86.3
246,77.5
247,81.8
248,85.4
249,83.7
250,87.5
251,79.7
252,88.6
253,88.4
254,90.6
255,82.4
256,86.2
257,86.4
258,92.7
259,83.2
260,88.6
261,85.9
262,88.8
263,86.6
264,88.8
265,88.7
266,90.9
267,84.9
268,82.2
269,86.7
270,81.7
271,84.9
272,82.6
273,85.9
274,86.6
275,92.6
276,87.2
277,87.2
278,87.3
279,86.7
280,89.3
281,87.4
282,87.6
283,87.4
284,86.4
285,85.2
286,86.1
287,84.3
288,84.9
289,81.5
290,87.4
291,83.0
292,83.3
293,83.1
294,90.8
295,83.6
296,86.7
297,84.0
298,87.3
299,89.4
300,88.6
301,83.4
302,91.3
303,84.0
304,88.1
305,84.8
306,91.2
307,88.9
308,85.4
309,73.0
310,79.4
311,67.5
312,65.8
313,70.0
314,55.5
315,30.6
316,26.0
317,20.2
318,4.6
319,7.3
320,10.6
